DIRECCION;IDTIPO;IDESTADO;IDOPCOMERCIAL;IDPROPIETARIO;HAB;BA„;LOCALIDAD;BARRIO;PRECIO
9 Marconi Road;1;1;2;1;3;2;CORDOBA;SAN VICENTE;300
8842 Old Van Dyke Ave.;3;2;1;5;2;1;SANTA FE;LAS ROSAS;45000
471 S. Cambridge Drive;2;1;2;3;0;1;BUENOS AIRES;TIGRE;250
9 Military Dr.;5;1;2;6;1;1;SAN LUIS;LUISINA;70000
8388 Pheasant Street;4;2;1;4;2;1;CHACO;CAYETANO;260
221 Dogwood Dr.;1;1;1;8;4;2;CORDOBA;SAN VICENTE;57000
911 Charles St.;3;2;1;10;3;2;SANTA FE;LAS ROSAS;200
176 Henry Smith Ave.;2;1;2;17;2;1;BUENOS AIRES;TIGRE;400
323 1st St.;5;1;2;19;0;1;SAN LUIS;LUISINA;580
8127 Pawnee Lane;4;2;1;2;1;1;CHACO;CAYETANO;80000
7813 Helen Ave.;1;1;1;7;2;1;CORDOBA;SAN VICENTE;53000
353 Canterbury Dr.;3;2;2;9;4;2;SANTA FE;LAS ROSAS;100000
61 Addison Dr.;2;1;1;11;1;1;BUENOS AIRES;TIGRE;57000
810 West Mill St.;5;2;2;1;3;2;SAN LUIS;LUISINA;200
51 Mayfair Court;4;1;1;1;2;1;CHACO;CAYETANO;400
840 Oak Meadow Ave.;1;2;2;5;0;1;CORDOBA;SAN VICENTE;580
257 Pheasant Drive;3;1;1;3;1;1;SANTA FE;LAS ROSAS;80000
30 N. Park Avenue;2;2;2;6;3;2;BUENOS AIRES;TIGRE;53000
850 School St.;5;1;1;4;2;1;SAN LUIS;LUISINA;100000
59 Atlantic Ave.;4;2;2;8;0;1;CHACO;CAYETANO;150
